"","title","timestamp","duration","venue","lat","lng","id","address"
"160","UChicago Information Session in Northfield","2019-07-09T19:00:00",5400,"Northfield Arts Guild Theater",44.457,-93.166,"b6ac4706-8e8d-4a97-8b3e-94c8f4213b99",NA
"161","UChicago Information Session in Minneapolis","2019-07-14T15:00:00",5400,"Southdale Library",44.875,-93.32,"75cefe2b-855e-4af8-bebc-e93273cf49c7",NA
"162","UChicago Information Session in Fargo","2019-07-11T18:00:00",5400,"Fargo Public Library – Dr. James Carlson Library",46.833,-96.827,"5a0e7bab-2279-496a-a7e9-3d7f4961e91c",NA
"163","UChicago Information Session in Sioux Falls","2019-07-10T19:00:00",5400,"Lincoln HS",43.519,-96.709,"01af770f-05c5-4437-ae62-9f44445d749b",NA
"164","UChicago Information Session in Milwaukee","2019-07-07T14:00:00",5400,"Marquette Univ. HS",43.038,-87.956,"75d4e763-4987-4575-a4dc-17131297ddd8",NA
"165","UChicago Information Session in Madison","2019-07-08T19:00:00",5400,"Edgewood HS",43.06,-89.421,"c85b8911-bc0c-4e4d-889a-257dd6d60a47",NA
"166","UChicago Information Session in Sacramento","2019-07-20T14:00:00",3600,"Sacramento Country Day School",38.57,-121.4,"de32eea6-1077-4c04-aca9-f58b5da332f6",NA
"167","UChicago Information Session in Redwood City","2019-07-24T19:00:00",3600,"Sequoia HS",37.484,-122.237,"0f28d1ec-caf6-4d83-85d5-d30cbce66e06",NA
"168","UChicago Information Session in Broward","2019-07-11T19:00:00",5400,"American Heritage School Plantation",26.121,-80.311,"34334616-0eee-4b15-b83a-54d04883a698",NA
"169","UChicago Information Session in Miami","2019-07-14T14:00:00",5400,"Miami Country Day School - Center for the Fine Arts ",25.875,-80.184,"e51a58a8-64c9-4014-bddb-2edfa7acd889",NA
"170","UChicago Information Session in Fort Myers","2019-07-15T18:00:00",5400,"Cape Coral Lee County Public Library",26.58,-81.995,"a18e7300-568e-49bb-bc4c-77f4e8272459",NA
"171","UChicago Information Session in Tampa","2019-07-16T18:30:00",5400,"Berkeley Preparatory School",27.99,-82.563,"deaa5a46-c51d-4c16-86da-11e848fbd586",NA
"172","UChicago Information Session in Winter Park","2019-07-18T18:30:00",5400,"Trinity Preparatory School",28.613,-81.273,"ec5c8348-7014-4b11-8182-79eb94bc2bf1",NA
"173","UChicago Information Session in Santa Barbara","2019-07-21T13:00:00",5400,"Santa Barbara Public Library - Faulkner Gallery ",34.424,-119.703,"57af9dd0-2238-497c-8057-61c1b1186e8c",NA
"174","UChicago Information Session in Santa Monica","2019-07-22T18:00:00",5400,"Santa Monica Public Library",34.019,-118.493,"da599f50-7215-4e76-aec3-7a03abaad5d7",NA
"175","UChicago Information Session in Pasadena","2019-07-23T18:00:00",5400,"Westridge School",34.126,-118.156,"19718fc9-8495-48b3-9851-0aad0771a33d",NA
"176","UChicago Information Session in Thousand Oaks","2019-07-24T18:30:00",5400,"La Reina High School",34.203,-118.877,"27699c68-405d-4847-a654-482a7730f19b",NA
"177","UChicago Information Session in Claremont","2019-07-28T14:00:00",5400,"DoubleTree by Hilton Hotel Claremont",34.108,-117.724,"ebc194c8-9c19-4198-8d3d-b360395f2deb",NA
"178","UChicago Information Session in Anaheim","2019-07-29T18:00:00",5400,"Fairmont Preparatory Academy",33.844,-117.96,"e0e63190-e6e2-46b2-8dce-ed2a4e00fc06",NA
"179","UChicago Information Session in San Diego","2019-07-30T18:00:00",5400,"Saint Augustine High School",32.735,-117.124,"f5a6223e-75c7-4f39-925f-a709ce3c3307",NA
"180","UChicago Information Session in Palos Verdes","2019-07-31T18:00:00",5400,"Palos Verdes High School",33.78,-118.42,"f1cc5bbe-f321-4bd6-b768-f8f36ee4478d",NA
"181","UChicago Information Session in San Jose","2019-07-23T19:00:00",3600,"Valley Christian HS",37.276,-121.827,"c2f6bcaa-d9bd-4974-9d58-da64f002dc76",NA
"182","UChicago Information Session in Atlanta","2019-07-13T14:00:00",5400,"Marist School",33.901,-84.335,"a04addc9-cac3-490b-87c3-0e1ea2fa86a4",NA
"183","UChicago Information Session in Charlotte","2019-07-08T19:00:00",5400,"Providence Day School",35.161,-80.78,"85f3b0cd-8715-48ca-8d06-1b144ea628b4",NA
"184","UChicago Information Session in Durham","2019-07-09T19:00:00",5400,"Durham Academy Upper School",35.978,-78.969,"ec17a412-641d-4855-b7a2-489e6befa686",NA
"185","UChicago Information Session in Greenville","2019-07-07T14:00:00",5400,"Hughes Main Library",34.857,-82.402,"c1f90a2d-63cd-4a01-98ed-ca145d5a4967",NA
"186","UChicago Information Session in Richmond","2019-07-10T19:00:00",5400,"Collegiate School",37.581,-77.587,"7f96c447-e56c-4caa-a9d8-0cb0be8a85ef",NA
"187","UChicago Information Session in Charlottesville","2019-07-11T19:00:00",5400,"St Anne's-Belfield",38.042,-78.515,"5188ba35-a886-417b-ba68-50e645de23c1",NA
"188","UChicago Information Session in the East Bay","2019-07-22T19:00:00",3600,"Bentley School",37.893,-122.152,"3edadcef-e808-4a13-b23a-6b06dce0bb21",NA
"189","UChicago Information Session in San Francisco","2019-07-31T19:00:00",3600,"Park Branch Library",37.77,-122.451,"6a1a32d0-dc4c-45ed-8c76-d92e709126b7",NA
"190","UChicago Information Session in Baltimore","2019-07-15T19:00:00",5400,"Friends School",39.357,-76.625,"d1e12399-f0a8-421c-8474-1d6c77616f4d",NA
"191","UChicago Information Session in Ann Arbor","2019-07-28T15:00:00",NA,"Ann Arbor District Library: Downtown Library",42.278,-83.746,"0a6bb5c9-8110-4706-a6d0-1eca677c932d",NA
"192","UChicago Information Session in Metro Detroit","2019-07-29T19:00:00",NA,"Detroit Country Day School",42.514,-83.264,"126b946b-fd70-4cde-a209-aa62351dc215",NA
"193","UChicago Information Session in Metro Detroit","2019-07-30T19:00:00",NA,"University Liggett School",42.424,-82.901,"72f84dc6-28eb-4dee-966d-0696977f4fd4",NA
"194","UChicago Information Session in Grand Rapids","2019-07-31T19:00:00",NA,"Grand Rapids Public Library - Ryerson Auditorium",42.965,-85.666,"2730515d-fbd0-40b5-92a7-d46b9a7d2edd",NA
"195","UChicago Information Session in Portage","2019-08-01T19:00:00",NA,"Portage District Library",42.204,-85.587,"1adec1ae-5bbf-49f0-a141-30791e06efd5",NA
"196","UChicago Information Session in Cleveland","2019-07-29T19:00:00",3600,"Hathaway Brown School",41.482,-81.541,"dfe8f643-17df-486f-b0d6-3635493cfc15",NA
"197","UChicago Information Session in Columbus","2019-07-30T19:00:00",3600,"St Charles Prep HS",39.969,-82.947,"61e37325-4c3c-4e6e-bd92-20eff03fdd4e",NA
"198","UChicago Information Session in Toledo","2019-07-31T19:00:00",3600,"Heatherdowns Branch Library",41.601,-83.622,"b388cc59-0885-4cc6-bb9b-2cd3c406b067",NA
"199","UChicago Information Session in Philadelphia","2019-07-24T19:00:00",3600,"Parkway Central Library",39.959,-75.171,"aedd62c8-0c3f-4f57-8a85-69a12c2ecee7",NA
"200","UChicago Information Session in Pittsburgh","2019-07-25T19:00:00",3600,"Oakland Catholic HS",40.449,-79.95,"5bfa0163-bed4-49e8-849a-74fd50dba751",NA
"201","Quest for Colege Information Session in Birmingham","2019-06-23T19:00:00",5400,"Thompson HS Performing Arts Center ",33.223,-86.845,"983d8523-a286-4f72-986c-f6a918153f3b",NA
"202","Quest for College Information Session in Little Rock","2019-06-25T18:00:00",5400,"Darragh Center Auditorium at the Public Library",34.747,-92.267,"ee7ba1be-3b9e-46cb-85a6-37441109c4ab",NA
"203","UChicago Information Session in Denver","2019-08-04T14:30:00",3600,"Lowry Conference Center, room 100B-C",39.728,-104.887,"32df0c86-c0c4-40cd-9aa7-0f60824138e4",NA
"204","UChicago Information Session in Colorado Springs","2019-08-05T19:00:00",3600,"Penrose Library",38.835,-104.826,"2130c265-ac2f-4e3a-8f01-506a92eaef2e",NA
